Timestamp,Your major:,Are you an international student?,Your living arrangement during this pandemic,Does your living arrangement during this pandemic make it difficult for you to take the most out of online instruction?,How motivated are you about learning after this pandemic?,How well are you able to interact with your classmates about school work through zoom after this pandemic?,How well are you able to interact with your instructors through zoom after this pandemic?,"Describe your sense of belonging to UCLA after this pandemic. This could include ability to cope with challenges, feeling relaxed, not feeling excluded, interaction with diverse students and faculty, etc.",What are the concerns that you have after this pandemic?,In what way if any has this pandemic affected your anxiety about success in academics?,Describe if zoom has helped to lower the effect of social distancing on your academic and social life?,In what way if any has this pandemic affected your philosophy of life and what you consider to be the most important?,"We all talk about the negative effects of this pandemic, please share any positive affect this pandemic has had on you?"
2020/04/19 5:07:21 PM MDT,STEM,Yes,At home in californa,No,Equally motivated,1,1,,,,,,
2020/04/19 5:19:21 PM MDT,STEM,Yes,In my apartment,Yes,Less motivated than before?,2,1,,Learning efficiency,,Not much,,Forced to learn to cook and now better at cooking
2020/04/19 5:20:25 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,2,1,Very stressed all the time with regard to school work because of the lack of motivation. And having constant stress makes it even harder to stay motivated so it's just positive feedback loop. ,How long will it last? Will I pass all my classes and graduate? How are grades going to be given at the end of the quarter?,Alot. I have never been more stressed or stressed for such a continuous length of time before jn my life. ,Zoom is not the same as attending lectures in person or meeting up with friends. But I'd rather video than nothing at all. ,"I still value the same things in life as before. Health, family, and work have always been my priorities. ","Honestly, nothing. Has brought kotjing positive in my life that I haven't had before or wanted to have prior. "
2020/04/19 5:21:01 PM MDT,STEM,Yes,In my apartment,No,More motivated,1,1,I moved out of the hill after UCLA moved instructions online because I felt anxious living on the hill because dining halls and other services was also closed,Whether the economy and job market is going to be affected ,No effect so far,For academic life I felt as usual but social life I still miss going out with friends and Zoom does not really help on that,I realized that itâ€™s important to live at the present and do not procrastinate on things you wanted to do,I get to take five classes because some classes choose to upload recordings instead of live lecture so I get to learn more
2020/04/19 5:22:08 PM MDT,STEM,Yes,In my apartment,Yes,Equally motivated,2,1,Actually more - I get help easier and faster through online channels.,"About grant and scholarship for PhD, as I will need to apply the next year.",Just too much to do without normal happiness outdoors.,No.,How to finish workload,Makes me able to doing things more efficient without see others in person - more focus
2020/04/19 5:28:30 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,1,1,I think the pandemic has made me disconnect with school on many levels. Not only just because I see that the school isnâ€™t doing much for us who donâ€™t live in relaxed or fortunate lifestyles. I personally donâ€™t feel motivated to be attending ANY class because I have so many non school related issues happening but I know it is simply my duty to go through with it if not I will suffer consequences in the form of academic delay. I donâ€™t talk to any other students unless I must because my priorities are keeping my family safe and help them get through our current situation such as baby sitting as people in my household go to work. I feel my life is much different from classmates and even fear and get anxious when having to meet with them. ,Graduation and job market,Itâ€™s caused a lot of anxiety and uncertainty. From looking at other and hearing from others in class it seems (at least to me and I could be mistaken) that many are doing fine but I feel like I canâ€™t keep up.,Zoom is great. It helps me attend lectures and it has great features to facilitate learning. ,"Pandemic has really brought me back to my family. Spending time away from them while in college allows me to separate from issues at home and solely focus on school. Although it is tougher being at home, I know that they are my priority. School is only temporary, they are not. ",The pandemic has made me think about myself and what it is I want out of where I am in college. Especially managing where my interests are. Living with small children in my house has also made me become a temporary teacher which focuses a lot on what I have learned in my minor. I know that Stats is my major but I most definitely do not want to be a consultant. I want to focus on research within autism and in early childhood development. Being home with the children makes me realize that what I want to do not only could impact them but many others as well. 
2020/04/19 5:29:53 PM MDT,STEM,No,At home in californa,No,Equally motivated,1,2,"Academically, I definitely have more time than before to do all of my work. However, I definitely have a level of anxiety about the current situation, which is placing a new level of stress. Online instruction has worked out smoothly so far, but it is definitely not as satisfying as having the person-to-person interaction.","The biggest concern is definitely the economic side, both for people I know who have lost their jobs and for me and my classmates who are entering the job market very soon. ","I thankfully do not have any anxiety about academics. In fact, I have more time to focus on it now, so I feel less stressed in that aspect. ",Zoom has helped me stay in touch with everyone successfully. Zoom and other apps for meeting online have definitely made social distancing easier to handle. ,"This pandemic has made me reflect on aspects of life that we all have taken for granted, including simply hanging out with people we love, having a home to stay in during a dangerous time, and the quality of in-person education. Before the pandemic, I never really looked back to appreciate the ability to do everyday things. The pandemic is undoubtedly shaping my lookout. ","My family is spending more time together than ever before. Before the pandemic, we were all busy due to school and work, but now that we are all home, we can spend more time together and catch up."
2020/04/19 5:38:10 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,1,1,Feeling completely isolated since there is no in person contact with anybody at all,"I will be graduating in this upcoming summer but there is no way to get any jobs because of the corona virus. I don't know how to find a job right after ucla, and suppose no job,  then a huge financial crisis will come right after ucla.  I am thinking about leaving United States soon","more and more people havve been affected by corona virus every single day and it is inevitable that we cannot fully concentrate on our school work. However, UCLA does not help students release stress academically. in my major, they are saying: for specific classes, you MUST take it as letter grade! otherwise, can't graduate! ","yes. Zoom definitely helping us to do social distancing while still allow us to have lectures, take exams and so on",,"positive affect.... tough quesiton.  since I am staying at home 24 hours, my CATS are so happy to be with their owner all the time."
2020/04/19 5:38:17 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,2,1,"Less motivation, no real sense of belonging ",Way of life will change drastically,A little more anxiety about doing well in classes,"Yes, I can talk to friends easier","Focus on myself and what I like to do, think about which friends im closest to and want to keep in touch with",Made me clean my room and learn new hobbies
2020/04/19 5:42:55 PM MDT,STEM,No,In my apartment,No,More motivated,2,1,"I feel less of a belonging to UCLA after this pandemic. Since everything's been transferred to online, it feels like any other online class that I can be paying much less for. The tuition that is still being charge for this spring quarter doesn't seem fair considering we are not allowed to use many of the facilities that we're paying for, and not being on campus surrounded by similar intellectuals and a learning environment does not give me the same motivation or urgency to study as well as I once did.",I'm concerned that I won't be able to find a job after graduation in this economic climate.,This pandemic has increased my anxiety about success in academics due to the limited resources available and less productive environment.,"Zoom has helped a bit in lowering the effect of social distancing mainly for my academic life. As for my social life, I don't use zoom to talk to my friends.",This pandemic has made me realize that I should treasure my time spent outdoors and with friends more in the future.,"I've been able to save a bit of gas money; however, that has gone into my increased electricity and water bill, as I'm home all the time. I've also been able to catch up on a lot of entertainment (TV and movies) and social media. It's also been heartwarming to see the good people can do in terms of donating and several other acts of kindness."
