,ID,Major,International,Living_Arrange,Instruct_Difficulty,Motivation,Interaction_Students,Interaction_Instructor,Sentiment_Score,Joy_Count,Anger_Count,Pos_Count,Neg_Count
1,1,STEM,Yes,At home in californa,No,Equally motivated,1,1,NA,0,0,0,0
2,2,STEM,Yes,In my apartment,Yes,Less motivated than before?,2,1,1,0,0,3,1
3,3,STEM,No,In my apartment,No,Less motivated than before?,2,1,0,0,0,1,2
4,4,STEM,Yes,In my apartment,No,More motivated,1,1,1,1,0,6,2
5,5,STEM,Yes,In my apartment,Yes,Equally motivated,2,1,1,3,0,5,0
6,6,STEM,No,At home in californa,Yes,Less motivated than before?,1,1,0,4,3,15,12
7,7,STEM,No,At home in californa,No,Equally motivated,1,2,1,1,3,9,10
8,8,STEM,No,In my apartment,No,Less motivated than before?,1,1,0,2,1,9,7
9,9,STEM,No,In my apartment,No,Less motivated than before?,2,1,0,1,1,6,1
10,10,STEM,No,In my apartment,No,More motivated,2,1,0,8,3,17,7
11,11,STEM,Yes,In my apartment,No,Equally motivated,1,2,1,3,1,7,4
12,12,STEM,No,In my apartment,No,Equally motivated,2,1,NA,0,0,0,0
13,13,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,5,4,12,7
14,14,STEM,No,In my apartment,Yes,Less motivated than before?,1,2,0,0,0,2,1
15,15,STEM,No,In my apartment,No,Less motivated than before?,1,1,0,4,2,13,5
16,16,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,5,3,13,8
17,17,STEM,No,At home in californa,Yes,Equally motivated,2,1,NA,0,0,0,0
18,18,STEM,No,In my apartment,No,Less motivated than before?,2,1,0,0,0,5,4
19,19,STEM,No,In dorms,No,Equally motivated,2,1,1,3,0,5,1
20,20,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,0,0,0,5,1
21,21,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,0,1,1,7,4
22,22,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,0,1,1,4,6
23,23,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,NA,0,0,0,0
24,24,STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,0,0,1,0,3
25,25,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,1,7,6
26,26,Non-STEM,Yes,In my apartment,No,Less motivated than before?,1,2,1,2,0,3,1
27,27,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,1,4,0,6,1
28,28,STEM,Yes,In my apartment,No,Equally motivated,2,2,1,3,1,7,2
29,29,STEM,No,At home in californa,No,Less motivated than before?,2,1,NA,4,1,7,3
30,30,STEM,No,In my apartment,No,Less motivated than before?,2,2,0,0,0,2,2
31,31,STEM,No,At home in californa,No,Equally motivated,2,1,0,3,1,16,2
32,32,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,NA,0,0,0,0
33,33,STEM,No,In US but outside CA,No,More motivated,2,2,1,7,2,17,13
34,34,STEM,No,In my apartment,No,Less motivated than before?,2,2,0,5,1,21,12
35,35,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,1,2,0,12,2
36,36,STEM,Yes,In my apartment,No,Less motivated than before?,1,1,NA,0,0,0,0
37,37,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,2,0
38,38,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,0,2,2,9,4
39,39,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,4,1,12,4
40,40,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,2,1,5,5
41,41,STEM,No,In my apartment,No,Equally motivated,1,1,0,0,1,4,2
42,42,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,1,1,3,1
43,43,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,0,0,0,0
44,44,STEM,No,In my apartment,Yes,Equally motivated,2,1,0,0,1,5,6
45,45,STEM,No,In my apartment,No,Less motivated than before?,2,2,1,5,3,9,5
46,46,STEM,No,At home in californa,Yes,More motivated,2,1,0,9,1,23,5
47,47,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,2,2,11,8
48,48,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,1,0,0,2,2
49,49,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,0,0,0,0
50,50,STEM,Yes,In my apartment,No,Equally motivated,2,1,NA,0,0,0,0
51,51,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,0,0,0,2,0
52,52,STEM,No,At home in californa,Yes,Equally motivated,2,2,0,0,2,5,5
53,53,STEM,No,In my apartment,No,Less motivated than before?,1,1,1,1,1,3,4
54,54,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,0,1,0,4,1
55,55,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,0,0,2,1
56,56,STEM,Yes,Outside US,No,Equally motivated,2,1,NA,0,0,0,0
57,57,STEM,Yes,In my apartment,No,Equally motivated,2,2,0,2,1,4,4
58,58,STEM,No,At home in californa,No,Less motivated than before?,2,2,0,0,0,1,0
59,59,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,0,0,1,4,3
60,60,STEM,Yes,In my apartment,No,More motivated,2,1,0,3,1,11,4
61,61,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,1,1,0,4,6
62,62,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,2,0,10,4
63,63,STEM,No,At home in californa,Yes,Less motivated than before?,1,1,1,1,0,2,1
64,64,STEM,Yes,In my apartment,No,Equally motivated,2,2,NA,0,0,0,0
65,65,STEM,No,In US but outside CA,No,Equally motivated,1,2,NA,2,0,6,0
66,66,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,1,0,0,0,0
67,67,STEM,Yes,In my apartment,No,More motivated,2,1,1,0,0,0,0
68,68,STEM,Yes,In my apartment,Yes,Equally motivated,2,1,0,0,0,3,1
69,69,STEM,No,At home in californa,Yes,Equally motivated,2,2,1,0,0,1,1
70,70,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,1,1,0,5,2
71,71,STEM,No,At home in californa,No,Equally motivated,2,1,NA,5,1,15,12
72,72,STEM,Yes,Outside US,No,Less motivated than before?,2,1,NA,0,0,0,0
73,73,STEM,Yes,Outside US,No,Less motivated than before?,2,1,0,0,0,0,0
74,74,STEM,No,At home in californa,No,Less motivated than before?,2,2,NA,4,2,8,5
75,75,Non-STEM,No,In US but outside CA,Yes,More motivated,2,1,NA,0,0,0,0
76,76,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,0,0,0,0
77,77,STEM,No,In my apartment,No,More motivated,2,2,1,0,0,0,0
78,78,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,3,2,5,1
79,79,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,1,1,1,8
80,80,STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,0,0,0,2,1
81,81,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,4,5
82,82,STEM,No,At home in californa,No,Less motivated than before?,2,2,NA,4,1,10,5
83,83,STEM,No,In dorms,No,Less motivated than before?,2,1,1,0,0,0,0
84,84,STEM,No,At home in californa,Yes,Equally motivated,2,2,1,6,1,18,4
85,85,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,5,0,11,3
86,86,STEM,Yes,In dorms,No,Less motivated than before?,2,1,0,0,1,0,1
87,87,STEM,No,At home in californa,No,Less motivated than before?,1,2,0,0,0,2,1
88,88,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,1,0,0,2,1
89,89,Non-STEM,No,At home in californa,No,Equally motivated,1,2,0,1,1,3,1
90,90,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,2,3
91,91,Non-STEM,No,At home in californa,No,Less motivated than before?,2,2,1,1,1,5,5
