county,2017,2018,2019
Alameda,840000,826000,875000
Alpine,,,369943
Amador,330000,324000,335000
Butte,314750,376000,355860
Calaveras,306500,335000,343500
Colusa,,,264790
Contra Costa,555000,595000,614000
Del Norte,198500,217000,227000
El Dorado,480000,460000,442120
Fresno,245450,270000,289950
Glenn,228500,225000,315000
Humboldt,300000,325500,308000
Inyo,,,222567
Imperial,,,278147
Kern,225500,240000,252000
Kings,238000,219900,247450
Lake,279000,265000,253000
Lassen,217750,228500,239000
Los Angeles,564100,566010,617520
Madera,275000,260000,334790
Marin,1317500,1149500,1294000
Mariposa,276500,316120,266000
Mendocino,425000,384560,412000
Merced,257000,279990,282950
Modoc,,,141299
Mono,480000,782000,780000
Monterey,571500,590000,649500
Napa,662000,672500,697500
Nevada,382000,402950,367000
Orange,780000,796500,855000
Placer,446000,479000,493000
Plumas,265950,308240,330000
Riverside,397250,400000,415460
Sacramento,350000,352250,379000
San Benito,555000,595000,575020
San Bernardino,277000,290000,325000
San Diego,590000,610000,660000
San Francisco,1330000,1376500,1460000
San Joaquin,350000,375000,385000
San Luis Obispo,565000,592500,652500
San Mateo,1437500,1450000,1422250
Santa Barbara,567000,725000,675000
Santa Clara,1170000,1185000,1200000
Santa Cruz,790000,825000,869500
Shasta,249000,271720,282500
Sierra,,,183594
Siskiyou,193000,151000,255000
Solano,425000,428000,449900
Sonoma,670000,650000,667000
Stanislaus,295000,305000,330000
Sutter,284200,277500,327250
Tehama,227500,275000,260000
Trinity,,,301679
Tulare,215730,217750,240000
Tuolumne,265000,299500,309000
Ventura,660720,615000,660000
Yolo,383000,432500,431240
Yuba,265360,299000,315000
