county,year,TOT_POP,h_perc,reg_perc,dem_perc,H_MALE,H_FEMALE
Alameda County,2017,1660196,22.4089204,78.484118,57.2512388,188304,183728
Alameda County,2018,1666756,22.3564217,80.9515893,55.4062366,188229,184398
Alameda County,2019,1671329,22.3208596,82.0450366,56.4403415,188611,184444
Alpine County,2017,1111,11.4311431,78.6867619,38.3036941,71,56
Alpine County,2018,1089,11.5702479,82.32162,41.2677884,71,55
Alpine County,2019,1129,12.3117803,82.029599,41.6237116,75,64
Amador County,2017,38529,14.038776,75.712359,29.6634376,3370,2039
Amador County,2018,39405,14.3966502,82.5175583,28.2855749,3595,2078
Amador County,2019,39752,14.4722278,83.1565678,28.0890614,3617,2136
Butte County,2017,228696,16.3159828,69.3549156,35.7587546,18953,18361
Butte County,2018,230339,16.6346125,71.111393,34.4037592,19452,18864
Butte County,2019,219186,17.2141469,70.2696025,34.6626222,19162,18569
Calaveras County,2017,45681,12.0115584,78.92766,28.740117,2801,2686
Calaveras County,2018,45698,12.3637796,81.7295194,26.9010395,2856,2794
Calaveras County,2019,45905,12.998584,83.1128478,26.9454092,3026,2941
Colusa County,2017,21579,59.5764401,67.2992587,32.8199059,6709,6147
Colusa County,2018,21418,60.2437202,70.2627361,30.7082146,6715,6188
Colusa County,2019,21547,60.4167634,71.7424154,30.9996665,6765,6253
Contra Costa County,2017,1145535,25.5593238,78.8908124,50.1072049,146603,146188
Contra Costa County,2018,1150519,25.796358,82.8493118,48.4676093,148572,148220
Contra Costa County,2019,1153526,26.0436262,83.8621795,49.562791,150136,150284
Del Norte County,2017,27351,19.308252,76.9432068,31.529054,3354,1927
Del Norte County,2018,27740,20.1009373,76.0870755,30.2955478,3618,1958
Del Norte County,2019,27812,20.1208112,79.7411919,30.3086817,3605,1991
El Dorado County,2017,188679,12.8175367,83.0572009,29.2803615,12174,12010
El Dorado County,2018,190746,12.9811372,85.9917164,28.4977168,12487,12274
El Dorado County,2019,192843,13.159928,84.7464085,28.9753377,12790,12588
Fresno County,2017,985238,53.0363222,73.817414,39.1635239,264248,258286
Fresno County,2018,991950,53.4134785,76.8646419,37.4678969,267628,262207
Fresno County,2019,999101,53.7663359,78.1311274,38.108477,271242,265938
Glenn County,2017,27926,41.7245578,68.4682727,29.1600883,6128,5524
Glenn County,2018,27967,42.403547,69.1896856,27.6569188,6226,5633
Glenn County,2019,28393,42.5421759,70.1159775,27.9909372,6336,5743
Humboldt County,2017,136507,11.6470218,69.1730261,45.2339053,8057,7842
Humboldt County,2018,136244,11.820704,74.1431475,43.5361713,8145,7960
Humboldt County,2019,135558,12.0642087,75.5340338,44.0034866,8207,8147
Imperial County,2017,181649,84.1551564,69.8438048,49.3280828,76431,76436
Imperial County,2018,181523,84.5622869,68.7909424,47.1009612,76782,76718
Imperial County,2019,181215,85.0304886,77.865386,47.2610235,77122,76966
Inyo County,2017,17868,22.3304231,71.1026907,30.7810575,2061,1929
Inyo County,2018,17946,23.1360749,74.3874788,30.1641911,2123,2029
Inyo County,2019,18039,23.4491934,71.5015709,31.3425213,2169,2061
Kern County,2017,887356,53.2776022,71.2353528,35.1344824,244757,228005
Kern County,2018,893758,53.9091119,72.9800344,33.1315488,249212,232605
Kern County,2019,900202,54.6038556,74.1497397,33.5953593,254029,237516
Kings County,2017,149665,54.6159757,64.5933568,33.7609112,44133,37608
Kings County,2018,151382,54.9741713,64.8642302,32.3092729,44969,38252
Kings County,2019,152940,55.2595789,65.9567237,32.6802552,45823,38691
Lake County,2017,64111,20.5128605,65.8245087,38.8075352,6801,6350
Lake County,2018,64317,21.2541008,66.3632691,37.314114,7056,6614
Lake County,2019,64386,22.009443,67.6251411,37.3581171,7297,6874
Lassen County,2017,30920,19.0168176,82.9372346,21.2519646,4301,1579
Lassen County,2018,30618,19.2664446,84.6108854,19.4813281,4277,1622
Lassen County,2019,30573,19.3307821,83.325386,18.9958513,4269,1641
Los Angeles County,2017,10103711,48.4909258,83.1555545,51.517576,2443961,2455422
Los Angeles County,2018,10073906,48.5763218,86.4977002,49.6956408,2440533,2453000
Los Angeles County,2019,10039107,48.6295245,88.2906258,50.6914258,2434231,2447739
Madera County,2017,155423,57.7681553,61.4162445,32.6232255,44798,44987
Madera County,2018,156882,58.2176413,64.1298831,31.250754,45542,45791
Madera County,2019,157327,58.7839341,66.662991,31.7607343,46122,46361
Marin County,2017,259749,15.9338438,84.3054593,56.2031507,21404,19984
Marin County,2018,259662,16.0766689,88.7479246,55.3073466,21584,20161
Marin County,2019,258826,16.2889354,90.0192142,56.5828145,21778,20382
Mariposa County,2017,17414,11.2438268,69.3620741,28.6624193,993,965
Mariposa County,2018,17405,11.6805516,72.9038298,27.6501924,1024,1009
Mariposa County,2019,17203,12.0502238,72.6031065,27.5507361,1058,1015
Mendocino County,2017,87576,25.1278889,73.4132051,48.5794604,11503,10503
